var_id,table_id,frequency,wps_name,scale,units,note
ta,6hrPlevPt,6hrPt,TT,,K
ua,6hrPlevPt,6hrPt,UU,,m s-1
va,6hrPlevPt,6hrPt,VV,,m s-1
hus,6hrPlevPt,6hrPt,SPECHUMD,1,kg kg-1
zg,6hrPlevPt,6hrPt,GHT,,m
psl,6hrPlevPt,6hrPt,PMSL,,Pa
ts,6hrPlevPt,6hrPt,SKINTEMP,,K
mrsos,3hr,3hrPt,SM000010,0.01,m3 m-3,"Soil moisture (kg/m2 to m3/m3). See https://ldas.gsfc.nasa.gov/faq/LDAS"
mrsos,,,SM010200,0.01,m3 m-3,Substitute for deeper layer soil moisture
tsl,6hrPlevPt,6hrPt,ST000010,,K,Soil temperature
tsl,,,ST010200,,K,Soil temperature. Use as a substitute for deep soil temperature
rsds,3hr,3hrPt,SWDOWN,,W m-2,Surface downwelling shortwave radiation
rlds,3hr,3hrPt,LWDOWN,,W m-2,Surface downwelling longwave radiation
pr,3hr,3hrPt,RAINRATE,,kg m-2 s-1,Precipitation flux
snw,day,day,SNOW,,kg m-2,Snow amount
