time,T2,Q2,RH2
2020-08-01 09:00:00,-9999.0,-9999.0,-9999.0
2020-08-01 10:00:00,300.94561767578125,0.016035763546824455,68.26277923583984
2020-08-01 11:00:00,301.7309875488281,0.01616493985056877,65.67719268798828
2020-08-01 12:00:00,302.0267333984375,0.016724515706300735,66.74813079833984
2020-08-01 13:00:00,302.78668212890625,0.01641705073416233,62.643924713134766
2020-08-01 14:00:00,302.42181396484375,0.016594592481851578,64.66403198242188
2020-08-01 15:00:00,301.63604736328125,0.016456475481390953,67.17422485351562
2020-08-01 16:00:00,300.58892822265625,0.016444511711597443,71.43571472167969
2020-08-01 17:00:00,300.19403076171875,0.01604088582098484,71.39608764648438
2020-08-01 18:00:00,299.31475830078125,0.016001921147108078,75.08525085449219
2020-08-01 19:00:00,298.77142333984375,0.015937434509396553,77.2945327758789
2020-08-01 20:00:00,298.0781555175781,0.015702981501817703,79.46580505371094
2020-08-01 21:00:00,297.58880615234375,0.01554955542087555,81.1004638671875
2020-08-01 22:00:00,297.2962951660156,0.015329329296946526,81.40979766845703
2020-08-01 23:00:00,297.0096435546875,0.015198793262243271,82.12682342529297
2020-08-02 00:00:00,296.8221435546875,0.015191078186035156,83.00420379638672
2020-08-02 01:00:00,296.53851318359375,0.0151875801384449,84.42935180664062
2020-08-02 02:00:00,296.21331787109375,0.0151588786393404,85.9763412475586
2020-08-02 03:00:00,295.8644714355469,0.015125256031751633,87.6223373413086
2020-08-02 04:00:00,295.64324951171875,0.015089950524270535,88.62616729736328
2020-08-02 05:00:00,295.4827575683594,0.015060553327202797,89.3581771850586
2020-08-02 06:00:00,295.49017333984375,0.015188098885118961,90.1127700805664
2020-08-02 07:00:00,297.8530578613281,0.015405094251036644,79.13750457763672
2020-08-02 08:00:00,298.542724609375,0.015185913071036339,74.81189727783203
2020-08-02 09:00:00,299.3578186035156,0.015130564570426941,70.96605682373047
2020-08-02 10:00:00,300.37945556640625,0.015058695338666439,66.43412017822266
2020-08-02 11:00:00,301.36480712890625,0.015211796388030052,63.27329635620117
2020-08-02 12:00:00,302.1053466796875,0.015274486504495144,60.794769287109375
2020-08-02 13:00:00,302.6958312988281,0.014953626319766045,57.455902099609375
2020-08-02 14:00:00,303.14862060546875,0.014799196273088455,55.35471725463867
2020-08-02 15:00:00,303.31329345703125,0.015097102150321007,55.92231750488281
2020-08-02 16:00:00,302.861083984375,0.015718771144747734,59.78743362426758
2020-08-02 17:00:00,301.7403564453125,0.01599571481347084,65.0194320678711
2020-08-02 18:00:00,300.65557861328125,0.01601698435842991,69.45695495605469
2020-08-02 19:00:00,299.3796081542969,0.015832068398594856,74.1048583984375
2020-08-02 20:00:00,298.30255126953125,0.015627315267920494,78.09765625
2020-08-02 21:00:00,297.7044677734375,0.015458858571946621,80.15522003173828
2020-08-02 22:00:00,297.1422424316406,0.015312239527702332,82.14510345458984
2020-08-02 23:00:00,296.72076416015625,0.01518254168331623,83.56336212158203
2020-08-03 00:00:00,296.5011901855469,0.01504720002412796,83.9094467163086
2020-08-03 01:00:00,296.29443359375,0.014942760579288006,84.34821319580078
2020-08-03 02:00:00,296.07470703125,0.014936601743102074,85.45735168457031
2020-08-03 03:00:00,295.835693359375,0.014937058091163635,86.69267272949219
2020-08-03 04:00:00,295.69390869140625,0.014937260188162327,87.46021270751953
2020-08-03 05:00:00,295.5743408203125,0.014936028979718685,88.10987091064453
2020-08-03 06:00:00,295.62127685546875,0.015227900817990303,89.59114074707031
2020-08-03 07:00:00,297.67547607421875,0.01563314162194729,81.17709350585938
2020-08-03 08:00:00,298.9429931640625,0.01600591465830803,76.96068572998047
2020-08-03 09:00:00,300.093017578125,0.016044016927480698,72.0162582397461
2020-08-03 10:00:00,301.29058837890625,0.016031695529818535,67.0082778930664
2020-08-03 11:00:00,302.42401123046875,0.016051847487688065,62.74427795410156
2020-08-03 12:00:00,303.23626708984375,0.015989618375897408,59.564456939697266
2020-08-03 13:00:00,303.8685302734375,0.015863198786973953,56.92121887207031
2020-08-03 14:00:00,304.05084228515625,0.01583716832101345,56.20870590209961
2020-08-03 15:00:00,304.1731262207031,0.01598581299185753,56.309444427490234
2020-08-03 16:00:00,304.1509704589844,0.016205130144953728,57.167476654052734
2020-08-03 17:00:00,303.858154296875,0.01698225364089012,60.97068405151367
2020-08-03 18:00:00,303.20758056640625,0.017581893131136894,65.5884017944336
2020-08-03 19:00:00,301.8231506347656,0.017527714371681213,70.92552947998047
2020-08-03 20:00:00,300.4164733886719,0.017555201426148415,77.27006530761719
2020-08-03 21:00:00,299.3529357910156,0.017460018396377563,81.90116119384766
2020-08-03 22:00:00,298.53192138671875,0.01733706332743168,85.44219207763672
2020-08-03 23:00:00,297.87091064453125,0.017232147976756096,88.37937927246094
2020-08-04 00:00:00,297.3895263671875,0.01714172214269638,90.51416778564453
2020-08-04 01:00:00,297.0130920410156,0.01702284812927246,91.95990753173828
2020-08-04 02:00:00,296.7644958496094,0.016901573166251183,92.70584869384766
2020-08-04 03:00:00,296.54168701171875,0.016765844076871872,93.21192169189453
2020-08-04 04:00:00,296.6326599121094,0.016615847125649452,91.8930892944336
2020-08-04 05:00:00,296.70947265625,0.016515636816620827,90.96277618408203
2020-08-04 06:00:00,296.86553955078125,0.01669144257903099,91.0755386352539
2020-08-04 07:00:00,299.193603515625,0.017185473814606667,81.49105072021484
2020-08-04 08:00:00,300.2544860839844,0.017505411058664322,77.9158935546875
2020-08-04 09:00:00,301.6770324707031,0.017550745978951454,71.78384399414062
